iter	Passed	Remaining
0	1	109
1	1	93
2	2	84
3	3	77
4	3	74
5	4	72
6	5	70
7	5	68
8	6	66
9	7	65
10	7	63
11	8	62
12	9	61
13	9	60
14	10	59
15	11	58
16	11	57
17	12	56
18	13	55
19	13	54
20	14	54
21	15	53
22	15	52
23	16	51
24	17	51
25	17	50
26	18	49
27	18	48
28	19	48
29	20	47
30	20	46
31	21	45
32	22	45
33	22	44
34	23	43
35	24	42
36	24	42
37	25	41
38	26	40
39	26	40
40	27	39
41	27	38
42	28	37
43	28	36
44	29	36
45	30	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	35	31
53	36	31
54	36	30
55	37	29
56	38	28
57	38	28
58	39	27
59	40	26
60	40	26
61	41	25
62	42	24
63	42	24
64	43	23
65	44	22
66	44	22
67	45	21
68	46	20
69	46	20
70	47	19
71	48	18
72	48	18
73	49	17
74	49	16
75	50	15
76	51	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	55	11
83	55	10
84	56	9
85	57	9
86	57	8
87	58	7
88	59	7
89	59	6
90	60	5
91	61	5
92	61	4
93	62	3
94	63	3
95	63	2
96	64	1
97	64	1
98	65	0
99	66	0
